model_short,method,window,c_mean,c_std,n_seeds,c_cv
Llama-3.2-1B-Instruct,directional_ablation,20,5.119636661337771,0.0,3,0.0
Llama-3.2-1B-Instruct,directional_ablation,50,4.6095092483978455,0.0,3,0.0
Llama-3.2-1B-Instruct,mean_diff,20,3.771688942723309,0.0,3,0.0
Llama-3.2-1B-Instruct,mean_diff,50,3.861664231693977,0.0,3,0.0
Llama-3.2-1B-Instruct,pca,20,3.818178678361504,0.0,3,0.0
Llama-3.2-1B-Instruct,pca,50,3.600290823741986,0.0,3,0.0
Qwen2.5-0.5B-Instruct,directional_ablation,20,7.507819866975713,0.0,3,0.0
Qwen2.5-0.5B-Instruct,directional_ablation,50,7.055664779577401,0.0,3,0.0
Qwen2.5-0.5B-Instruct,mean_diff,20,7.588130746747839,0.0,3,0.0
Qwen2.5-0.5B-Instruct,mean_diff,50,7.561536121211781,0.0,3,0.0
Qwen2.5-0.5B-Instruct,pca,20,8.655517019086593,0.0,3,0.0
Qwen2.5-0.5B-Instruct,pca,50,8.606126777874907,0.0,3,0.0
Qwen3-4B-Instruct-2507,directional_ablation,20,25.600000000000005,0.0,3,0.0
Qwen3-4B-Instruct-2507,directional_ablation,50,22.895205490202148,0.0,3,0.0
Qwen3-4B-Instruct-2507,mean_diff,20,25.600000000000005,0.0,3,0.0
Qwen3-4B-Instruct-2507,mean_diff,50,25.600000000000005,0.0,3,0.0
Qwen3-4B-Instruct-2507,pca,20,23.302283905419525,0.0,3,0.0
Qwen3-4B-Instruct-2507,pca,50,17.99025750455262,0.0,3,0.0
